Comprobante;Edificio_ID;Nro_Medidor;Medida;Consumo (comprobante);Fecha pago;Importe;Servicio_ID;SEDE_ID
FC.B: 00045-01052619;21;34213500037;kw ;27862.89;44971;382735.61;2;1
FC.B: 80001-53082864;21;8336/0-1308-0017260/0;m3 ;284.55;44973;2486.81;3;1
FC.B: 80001-53060485;19;8500/0-09-06-0030831/1;m3 ;0;44973;1009.05;3;1
FC.B: 80001-53060479;19;8500/0-09-06-0030825/6;m3 ;32.21;44973;1185.01;3;1
FC.B: 80001-53060478;19;8500/0-09-06-0030824/4;m3 ;21.48;44973;1127.48;3;1
FC.B: 80001-53060599;20;8500/0-13-09-0035488/8;m3 ;0;44973;1254.19;3;1
FACT: 00001-06202952;19;01-000555-000-01;m3 ;0;44992;3189.25;7;1
FC.B: 00001-06202952;19;01-000555-000-01;m3 ;0;44971;3189.26;7;1
FACT: 00001-06202664;20;01-000041-000-01;m3 ;27.83;44992;1595.09;7;1
FC.B: 00001-06202664;20;01-000041-000-01;m3 ;27.83;44971;1595.1;7;1
FC.B: 80001-53060484;19;8500/0-09-06-0030830/0;m3 ;26.84;44973;1153.66;3;1
FC.B: 80001-53060483;19;8500/0-09-06-0030829/3;m3 ;32.21;44973;1178.2;3;1
FC.B: 80001-53060482;19;8500/0-09-06-0030828/1;m3 ;34.89;44973;1196.67;3;1
FC.B: 80001-53060481;19;8500/0-09-06-0030827/0;m3 ;29.53;44973;1168.54;3;1
FC.B: 80001-53060480;19;8500/0-09-06-0030826/8;m3 ;32.21;44973;1180.6;3;1
FACT: 00001-06213896;13;01-015175-000-00;m3 ;363.06;44992;33137.97;7;2
FC.B: 00001-06213896;13;01-015175-000-00;m3 ;363.06;44971;33138;7;2
FACT: 00001-06196126;12;01-001690-000-00;m3 ;422.51;44992;44487.38;7;2
FC.B: 00001-06196126;12;01-001690-000-00;m3 ;422.51;44971;44487.39;7;2
FC.B: 00048-01429017;13;54213500027;kw ;19427.87;44971;415059.61;2;2
FC.B: 00006-10087275;24;67886;kw ;456.67;44981;6336.94;4;4
FC.B: 00006-10034800;24;67886;kw ;456.67;44981;13244.94;4;4
FC.B: 80001-53060545;12;8500/0-9706-00188971;m3 ;61.76;44973;1430.05;3;2
FC.B: 80001-53060542;12;8500/0-0311-00248514;m3 ;144.99;44973;1802.29;3;2
FC.B: 80001-53067523;27;8400/0-1107-0048931/0;m3 ;112.38;44973;1549.25;3;4
FC.B: 80001-53067518;27;8400/0-1107-0048932/1;m3 ;22.47;44973;1109.51;3;4
FC.B: 80001-53067536;27;8400/0-1905-0062792/0;m3 ;19.96;44973;1002.81;3;4
FC.B: 80001-53067537;27;8400/0-1905-0062793/1;m3 ;19.96;44973;1124.88;3;4
FC.B: 80001-53067535;27;8400/0-1905-0062795/5;m3 ;24.97;44973;1122.32;3;4
FC.B: 80001-53067534;27;8400/0-1905-0062796/7;m3 ;22.47;44973;1118.8;3;4
FC.B: 80001-53067531;27;8400/0-1703-0057812/7;m3 ;19.96;44973;1116.66;3;4
FC.B: 80001-53067532;27;8400/0-1703-0057820/6;m3 ;29.96;44973;1145.53;3;4
FC.B: 80001-53067533;27;8400/0-1703-0057821/8;m3 ;24.84;44973;1136.65;3;4
FC.B: 80001-53067538;27;8400/0-1703-0057822/0;m3 ;22.47;44973;1124.02;3;4
